"","SL_C21h0","SL_GAT21h2","SL_GAT21h4","SL_T21h2"
"Gene247",7.84171983033333,8.104410126,7.86539162833333,7.96004895466667
"Gene248",7.81444117666667,7.98808069,7.895305065,7.83901552766667
"Gene249",7.840636626,8.337209855,8.09596052333333,8.05595309366667
"Gene25",4.48664197366667,4.57858178266667,4.55621838033333,4.51833846733333
"Gene250",7.78668063933333,7.75716367966667,7.56635251066667,7.91929652366667
"Gene251",7.843938141,7.72304680466667,7.71577771133333,7.54652769633333
"Gene252",7.83011724366667,7.9087831,7.60304388133333,7.954403012
"Gene253",7.90825284933333,7.37720917133333,7.60633915266667,7.66687942833333
"Gene254",7.89411299433333,7.594171949,7.30533376533333,7.56934977133333
"Gene255",7.78869073333333,7.85985319166667,7.68420125033333,7.77050693033333
"Gene256",7.88552617833333,7.49961177966667,7.68254961533333,7.568543293
"Gene257",7.91490407466667,8.28989250166667,8.25552553933333,8.03939923566667
"Gene258",7.91648061333333,7.844683265,7.83120658733333,7.61838175166667
"Gene259",8.05588308966667,8.53920351966667,8.10740577633333,8.19182439133333
"Gene26",4.554553688,4.61063923933333,4.55173569933333,4.57677473166667
"Gene260",8.009339999,8.48915478866667,8.08803715466667,8.057689985
"Gene261",7.82776579966667,7.97149014733333,7.83444809566667,7.95667963233333
"Gene262",7.94040864933333,8.24241014366667,8.14179659933333,7.99930169766667
"Gene263",7.88944836233333,8.03252038033333,7.69163323333333,7.80086058333333
"Gene264",7.87472780466667,8.191141016,8.028970528,8.26110862933333
"Gene265",7.946994984,8.22652979733333,7.80028322933333,7.93884283866667
"Gene266",7.96863901333333,7.702443898,7.551979593,7.87055018633333
"Gene267",8.06287341466667,8.06117389466667,8.09145851266667,8.05148306766667
"Gene268",8.04310524266667,7.82050710533333,6.97664669933333,8.111712306
"Gene269",7.87986447,7.87152615666667,7.781490311,7.91344913266667
"Gene27",4.64583155333333,4.700252814,4.67296525433333,4.60060170466667
"Gene270",8.023324198,8.49053160433333,8.115673121,8.160598795
"Gene271",7.914335266,7.997791083,7.87280801533333,7.89607133433333
"Gene272",8.004855648,7.56416880333333,7.20513274066667,7.709631824
"Gene273",8.17207284133333,8.32946129333333,7.729545862,8.619599459
"Gene274",7.899373696,7.78390742266667,7.93112776433333,7.88334258633333
"Gene275",7.94721216066667,7.567885896,7.713537125,7.71232559833333
"Gene276",8.02754287266667,8.10612369266667,8.266189744,7.91055017733333
"Gene277",7.95851211666667,7.87546294466667,7.41057409266667,8.07404991466667
"Gene278",7.989054582,8.14092540666667,7.76826687366667,8.30603744433333
"Gene279",8.091714026,7.66625146366667,7.35466355566667,8.03770798466667
"Gene28",4.664459112,4.78722924633333,4.47965142233333,4.661041189
"Gene280",7.98795122666667,8.28330944033333,7.983485188,8.02835769266667
"Gene281",7.980640485,8.178879943,8.07317147366667,8.08255333333333
"Gene282",8.017611803,8.129811093,7.928693165,8.07409982866667
"Gene283",7.97242379033333,8.218049002,8.03400495566667,8.05180282066667
"Gene284",8.097887578,8.16789859666667,8.153748412,8.13666255966667
"Gene285",8.15187463666667,8.35352188033333,8.292087388,8.30526779933333
"Gene286",8.08503344433333,8.39833198566667,8.13020778433333,8.23786021233333
"Gene287",8.18758213433333,8.52943321033333,8.38944138033333,8.291354983
"Gene288",8.07348874533333,8.29411929466667,8.06858356433333,8.281844885
"Gene289",8.13145860633333,8.19760394966667,8.113541721,8.26059661433333
"Gene29",4.73770783866667,4.82664696733333,4.71243355666667,4.757620499
"Gene290",8.101119118,7.32764199533333,7.32648259766667,7.616947903
"Gene291",8.20226346966667,8.54629375233333,8.41423980866667,8.31512500666667
"Gene292",8.17794862833333,8.38098029066667,8.29473998933333,8.24705179233333
"Gene293",8.02021715733333,7.59958865633333,7.918247847,7.66867013666667
"Gene294",8.139150296,8.422929004,8.23993322133333,8.39088180933333
