rootsample,length,Genotype,Treatment
827,3.82,Col-0,GA
828,6.07,Col-0,GA
829,5.47,Col-0,GA
830,5.81,Col-0,GA
831,5.1,Col-0,GA
832,4.87,Col-0,GA
833,4.49,Col-0,GA
834,5.36,Col-0,GA
835,6.68,Col-0,GA
836,6.58,Col-0,GA
837,5.37,Col-0,GA
838,4.97,Col-0,GA
839,6.41,Col-0,GA
840,5.45,Col-0,GA
841,4.73,Col-0,GA
842,6.99,Col-0,GA
843,4.56,Col-0,GA
844,3.13,Col-0,GA
845,7.78,Col-0,GA
846,4.87,Col-0,GA
847,6.56,Col-0,GA
848,6.37,Col-0,GA
849,3.05,Col-0,GA
850,6.52,Col-0,GA
851,3.42,Col-0,GA
852,7.43,Col-0,GA
853,5.6,Col-0,GA
854,6.03,Col-0,GA
855,5.57,Col-0,GA
856,6.02,Col-0,GA
857,4.55,Col-0,GA
858,6.67,Col-0,GA
859,5.31,Col-0,GA
860,4.32,Col-0,GA
861,5.53,Col-0,GA
862,7.68,Col-0,GA
863,5.05,Col-0,GA
864,4.59,Col-0,GA
865,5.32,Col-0,GA
866,6.22,Col-0,GA
867,5.54,Col-0,GA
868,7.47,Col-0,GA
869,4.7,Col-0,GA
870,5.48,Col-0,GA
871,5.7,Col-0,GA
872,7.35,Col-0,GA
873,5.28,Col-0,GA
874,6.3,Col-0,GA
875,7.33,Col-0,GA
876,5.18,Col-0,GA
877,5.09,Col-0,GA
878,5.75,Col-0,GA
879,4.26,Col-0,GA
880,5.33,Col-0,GA
881,3.56,Col-0,GA
882,6.08,Col-0,GA
883,6.19,Col-0,GA
884,5.76,Col-0,GA
885,4.9,Col-0,GA
886,5.95,Col-0,GA
887,5.22,Col-0,GA
888,6.07,Col-0,GA
889,6.22,Col-0,GA
890,4.87,Col-0,GA
891,6.29,Col-0,GA
892,6.91,Col-0,GA
893,5.66,Col-0,GA
894,5.04,Col-0,GA
895,6.43,Col-0,GA
896,4.59,Col-0,GA
897,5.81,Col-0,GA
898,6.41,Col-0,GA
899,6.27,Col-0,GA
900,5.89,Col-0,GA
901,4.96,Col-0,GA
902,5.24,Col-0,GA
903,3.96,Col-0,GA
904,5.24,Col-0,GA
905,4.3,Col-0,GA
906,6.72,Col-0,GA
907,4.93,Col-0,GA
908,5.22,Col-0,GA
909,4.98,Col-0,GA
910,3.08,Col-0,GA
911,7.38,Col-0,GA
912,6.44,Col-0,GA
913,5.75,Col-0,GA
914,4.4,Col-0,GA
915,6.06,Col-0,GA
916,7.4,Col-0,GA
917,4.68,Col-0,GA
918,5.18,Col-0,GA
919,5.92,Col-0,GA
920,5.9,Col-0,GA
921,6.6,Col-0,GA
922,7.35,Col-0,GA
923,4.6,Col-0,GA
924,4.2,Col-0,GA
925,3.38,Col-0,GA
926,5.04,Col-0,GA
927,4.74,Col-0,GA
928,4.25,Col-0,GA
929,5.82,Col-0,GA
930,5.56,Col-0,GA
931,5.43,Col-0,GA
932,5.31,Col-0,GA
933,5.02,Col-0,GA
934,5.6,Col-0,GA
935,6.08,Col-0,GA
936,5.39,Col-0,GA
937,5.46,Col-0,GA
938,6.36,Col-0,GA
939,5.87,Col-0,GA
940,6.23,Col-0,GA
941,6.06,Col-0,GA
942,5.73,Col-0,GA
943,7,Col-0,GA
944,3.96,Col-0,GA
945,5.04,Col-0,GA
946,8.07,Col-0,GA
947,4.41,Col-0,GA
948,5.91,Col-0,GA
949,7.43,Col-0,GA
950,6.84,Col-0,GA
951,4.66,Col-0,GA
952,5.61,Col-0,GA
953,4.94,Col-0,GA
954,4.62,Col-0,GA
955,5.89,Col-0,GA
956,7.45,Col-0,GA
957,4.27,Col-0,GA
958,5.02,Col-0,GA
959,6.05,Col-0,GA
