rootsample,length,Genotype,Treatment
1888,6.06,dP,Mock
1889,6.8,dP,Mock
1890,6.67,dP,Mock
1891,5.18,dP,Mock
1892,5.19,dP,Mock
1893,4.96,dP,Mock
1894,7.11,dP,Mock
1895,6.04,dP,Mock
1896,4.08,dP,Mock
1897,6.25,dP,Mock
1898,5.68,dP,Mock
1899,5.86,dP,Mock
1900,6.87,dP,Mock
1901,7.45,dP,Mock
1902,5.58,dP,Mock
1903,5.77,dP,Mock
1904,5.09,dP,Mock
1905,7.16,dP,Mock
1906,5.47,dP,Mock
1907,6.48,dP,Mock
1908,5.84,dP,Mock
1909,6.35,dP,Mock
1910,5.13,dP,Mock
1911,6.79,dP,Mock
1912,6.03,dP,Mock
1913,5.34,dP,Mock
1914,5.63,dP,Mock
1915,7.33,dP,Mock
1916,4.64,dP,Mock
1917,8.17,dP,Mock
1918,7.37,dP,Mock
1919,6.78,dP,Mock
1920,4.3,dP,Mock
1921,4.9,dP,Mock
1922,4.13,dP,Mock
1923,6.73,dP,Mock
1924,6.35,dP,Mock
1925,6.17,dP,Mock
1926,7.32,dP,Mock
1927,3.91,dP,Mock
1928,7.42,dP,Mock
1929,5.72,dP,Mock
1930,5.22,dP,Mock
1931,5.8,dP,Mock
1932,5.89,dP,Mock
1933,4.86,dP,Mock
1934,7.97,dP,Mock
1935,6.3,dP,Mock
1936,5.34,dP,Mock
1937,6.82,dP,Mock
1938,8.34,dP,Mock
1939,7.49,dP,Mock
1940,6.57,dP,Mock
1941,5.88,dP,Mock
1942,5.5,dP,Mock
1943,5.13,dP,Mock
1944,6.25,dP,Mock
1945,5.77,dP,Mock
1946,7.75,dP,Mock
1947,6.64,dP,Mock
1948,7.35,dP,Mock
1949,6.23,dP,Mock
1950,6.4,dP,Mock
1951,7.76,dP,Mock
1952,6.7,dP,Mock
1953,6.31,dP,Mock
1954,3.93,dP,Mock
1955,5.94,dP,Mock
1956,6.04,dP,Mock
1957,6.87,dP,Mock
1958,6.41,dP,Mock
1959,5.6,dP,Mock
1960,6.58,dP,Mock
1961,6.71,dP,Mock
1962,5.15,dP,Mock
1963,5.64,dP,Mock
1964,6.3,dP,Mock
1965,6.8,dP,Mock
1966,7.58,dP,Mock
1967,6.15,dP,Mock
1968,4.92,dP,Mock
1969,5.95,dP,Mock
1970,5.76,dP,Mock
1971,5.42,dP,Mock
1972,6.5,dP,Mock
1973,4.93,dP,Mock
1974,6.54,dP,Mock
1975,5.4,dP,Mock
1976,5.06,dP,Mock
1977,6.13,dP,Mock
1978,8.71,dP,Mock
1979,6.87,dP,Mock
1980,6.34,dP,Mock
1981,6.05,dP,Mock
1982,6.17,dP,Mock
1983,6.05,dP,Mock
1984,7.01,dP,Mock
1985,5.94,dP,Mock
1986,5.36,dP,Mock
1987,6.65,dP,Mock
1988,6.49,dP,Mock
1989,5.76,dP,Mock
1990,5.09,dP,Mock
1991,5.51,dP,Mock
1992,5.6,dP,Mock
1993,5.98,dP,Mock
1994,6.71,dP,Mock
1995,4.85,dP,Mock
1996,5.94,dP,Mock
1997,6.17,dP,Mock
1998,7.46,dP,Mock
1999,6.36,dP,Mock
2000,5.66,dP,Mock
2001,0.81,ga1-13,Mock
2002,1.2,ga1-13,Mock
2003,0.45,ga1-13,Mock
2004,1.2,ga1-13,Mock
2005,0.82,ga1-13,Mock
2006,0.72,ga1-13,Mock
2007,0.85,ga1-13,Mock
2008,0.54,ga1-13,Mock
2009,0.6,ga1-13,Mock
2010,1.33,ga1-13,Mock
2011,0.85,ga1-13,Mock
2012,0.52,ga1-13,Mock
2013,1.1,ga1-13,Mock
2014,0.53,ga1-13,Mock
2015,0.6,ga1-13,Mock
2016,0.72,ga1-13,Mock
2017,1.26,ga1-13,Mock
2018,0.99,ga1-13,Mock
2019,1.51,ga1-13,Mock
2020,0.72,ga1-13,Mock
2021,1.22,ga1-13,Mock
2022,0.79,ga1-13,Mock
2023,0.94,ga1-13,Mock
2024,1.35,ga1-13,Mock
2025,0.72,ga1-13,Mock
2026,1.07,ga1-13,Mock
2027,0.39,ga1-13,Mock
2028,1.66,ga1-13,Mock
2029,0.56,ga1-13,Mock
2030,1.05,ga1-13,Mock
2031,1.37,ga1-13,Mock
2032,0.15,ga1-13,Mock
2033,0.77,ga1-13,Mock
2034,0.9,ga1-13,Mock
2035,0.47,ga1-13,Mock
2036,0.36,ga1-13,Mock
2037,0.86,ga1-13,Mock
2038,1.52,ga1-13,Mock
2039,1.15,ga1-13,Mock
2040,1.07,ga1-13,Mock
2041,0.79,ga1-13,Mock
2042,1.09,ga1-13,Mock
2043,1.32,ga1-13,Mock
2044,0.72,ga1-13,Mock
2045,0.79,ga1-13,Mock
2046,0.78,ga1-13,Mock
2047,1.26,ga1-13,Mock
2048,1.11,ga1-13,Mock
2049,1.27,ga1-13,Mock
2050,1.33,ga1-13,Mock
2051,0.68,ga1-13,Mock
2052,0.2,ga1-13,Mock
2053,1.01,ga1-13,Mock
2054,0.76,ga1-13,Mock
2055,0.79,ga1-13,Mock
2056,1.21,ga1-13,Mock
2057,1.45,ga1-13,Mock
2058,1.03,ga1-13,Mock
2059,1.24,ga1-13,Mock
2060,1.21,ga1-13,Mock
2061,0.71,ga1-13,Mock
2062,0.9,ga1-13,Mock
2063,1.11,ga1-13,Mock
2064,1.19,ga1-13,Mock
2065,0.85,ga1-13,Mock
2066,1.1,ga1-13,Mock
2067,0.73,ga1-13,Mock
2068,1,ga1-13,Mock
2069,1.35,ga1-13,Mock
2070,0.7,ga1-13,Mock
2071,0.67,ga1-13,Mock
2072,1,ga1-13,Mock
2073,0.79,ga1-13,Mock
2074,1.18,ga1-13,Mock
2075,1.17,ga1-13,Mock
2076,1,ga1-13,Mock
2077,0.75,ga1-13,Mock
2078,1.23,ga1-13,Mock
2079,0.91,ga1-13,Mock
2080,1.05,ga1-13,Mock
2081,0.92,ga1-13,Mock
2082,1.62,ga1-13,Mock
2083,1.08,ga1-13,Mock
2084,0.91,ga1-13,Mock
2085,0.86,ga1-13,Mock
2086,0.78,ga1-13,Mock
2087,0.68,ga1-13,Mock
2088,1.13,ga1-13,Mock
2089,1.21,ga1-13,Mock
2090,1.42,ga1-13,Mock
2091,0.55,ga1-13,Mock
2092,0.96,ga1-13,Mock
2093,0.55,ga1-13,Mock
2094,1.19,ga1-13,Mock
2095,0.62,ga1-13,Mock
2096,1.35,ga1-13,Mock
2097,0.47,ga1-13,Mock
2098,1.22,ga1-13,Mock
2099,0.55,ga1-13,Mock
2100,0.89,ga1-13,Mock
2101,0.98,ga1-13,Mock
2102,0.64,ga1-13,Mock
2103,0.79,ga1-13,Mock
2104,0.82,ga1-13,Mock
2105,1.06,ga1-13,Mock
2106,0.4,ga1-13,Mock
2107,0.63,ga1-13,Mock
2108,0.71,ga1-13,Mock
2109,0.85,ga1-13,Mock
2110,0.86,ga1-13,Mock
2111,1.24,ga1-13,Mock
2112,0.76,ga1-13,Mock
2113,0.88,ga1-13,Mock
2114,0.9,ga1-13,Mock
2115,0.66,ga1-13,Mock
2116,1.39,ga1-13,Mock
2117,0.96,ga1-13,Mock
2118,1.34,ga1-13,Mock
2119,1.43,ga1-13,Mock
2120,1.21,ga1-13,Mock
2121,0.79,ga1-13,Mock
2122,1.22,ga1-13,Mock
2123,0.61,ga1-13,Mock
2124,1.46,ga1-13,Mock
2125,1.02,ga1-13,Mock
2126,1.3,ga1-13,Mock
2127,0.62,ga1-13,Mock
2128,0.7,ga1-13,Mock
2129,1.12,ga1-13,Mock
2130,1.13,ga1-13,Mock
2131,0.98,ga1-13,Mock
2132,0.59,ga1-13,Mock
2133,0.31,ga1-13,Mock
2134,0.72,ga1-13,Mock
2135,0.92,ga1-13,Mock
2136,1.2,ga1-13,Mock
2137,0.73,ga1-13,Mock
2138,0.94,ga1-13,Mock
2139,0.83,ga1-13,Mock
2140,0.89,ga1-13,Mock
2141,1.29,ga1-13,Mock
2142,1.16,ga1-13,Mock
2143,0.82,ga1-13,Mock
2144,0.63,ga1-13,Mock
2145,0.86,ga1-13,Mock
2146,0.99,ga1-13,Mock
2147,1.06,ga1-13,Mock
2148,0.72,ga1-13,Mock
2149,1.07,ga1-13,Mock
2150,0.68,ga1-13,Mock
2151,1.02,ga1-13,Mock
2152,0.81,ga1-13,Mock
2153,0.84,ga1-13,Mock
2154,0.93,ga1-13,Mock
2155,1.01,ga1-13,Mock
2156,0.47,ga1-13,Mock
2157,1.17,ga1-13,Mock
2158,1.27,ga1-13,Mock
2159,0.72,ga1-13,Mock
2160,1.04,ga1-13,Mock
2161,1.07,ga1-13,Mock
2162,1.23,ga1-13,Mock
2163,0.97,ga1-13,Mock
2164,1.17,ga1-13,Mock
2165,0.96,ga1-13,Mock
2166,1.07,ga1-13,Mock
2167,1.2,ga1-13,Mock
2168,0.94,ga1-13,Mock
2169,1,ga1-13,Mock
2170,1.14,ga1-13,Mock
2171,1.15,ga1-13,Mock
2172,0.8,ga1-13,Mock
2173,1.21,ga1-13,Mock
2174,1.06,ga1-13,Mock
2175,0.97,ga1-13,Mock
2176,1.11,ga1-13,Mock
2177,0.53,ga1-13,Mock
2178,1.11,ga1-13,Mock
2179,1.43,ga1-13,Mock
2180,0.84,ga1-13,Mock
2181,0.88,ga1-13,Mock
2182,1.03,ga1-13,Mock
2183,1.4,ga1-13,Mock
2184,0.9,ga1-13,Mock
2185,0.72,ga1-13,Mock
2186,0.64,ga1-13,Mock
2187,0.9,ga1-13,Mock
2188,0.93,ga1-13,Mock
2189,0.76,ga1-13,Mock
2190,1.36,ga1-13,Mock
2191,1.14,ga1-13,Mock
2192,0.67,ga1-13,Mock
2193,0.53,ga1-13,Mock
2194,0.68,ga1-13,Mock
2195,1.16,ga1-13,Mock
2196,0.52,ga1-13,Mock
2197,1.07,ga1-13,Mock
2198,1.34,ga1-13,Mock
2199,1.39,ga1-13,Mock
2200,0.91,ga1-13,Mock
2201,0.67,ga1-13,Mock
2202,1.03,ga1-13,Mock
2203,0.43,ga1-13,Mock
2204,1.12,ga1-13,Mock
2205,0.77,ga1-13,Mock
2206,1.33,ga1-13,Mock
2207,0.79,ga1-13,Mock
2208,1.32,ga1-13,Mock
2209,1.31,ga1-13,Mock
2210,0.7,ga1-13,Mock
2211,0.84,ga1-13,Mock
2212,0.98,ga1-13,Mock
2213,0.87,ga1-13,Mock
2214,0.77,ga1-13,Mock
2215,1.13,ga1-13,Mock
2216,1.39,ga1-13,Mock
2217,0.7,ga1-13,Mock
2218,0.8,ga1-13,Mock
2219,0.65,ga1-13,Mock
2220,1.24,ga1-13,Mock
2221,0.35,ga1-13,Mock
2222,1.05,ga1-13,Mock
2223,0.53,ga1-13,Mock
2224,0.97,ga1-13,Mock
2225,1.19,ga1-13,Mock
2226,1.07,ga1-13,Mock
2227,1.01,ga1-13,Mock
2228,0.98,ga1-13,Mock
2229,1.35,ga1-13,Mock
2230,1.33,ga1-13,Mock
2231,0.78,ga1-13,Mock
2232,1.1,ga1-13,Mock
2233,0.53,ga1-13,Mock
2234,1.22,ga1-13,Mock
2235,1.05,ga1-13,Mock
2236,0.67,ga1-13,Mock
2237,0.92,ga1-13,Mock
2238,0.74,ga1-13,Mock
2239,1.35,ga1-13,Mock
2240,1.03,ga1-13,Mock
2241,1.24,ga1-13,Mock
2242,1.51,ga1-13,Mock
2243,1.14,ga1-13,Mock
2244,0.72,ga1-13,Mock
2245,0.26,ga1-13,Mock
2246,1.36,ga1-13,Mock
2247,1.25,ga1-13,Mock
2248,1.62,ga1-13,Mock
2249,1.22,ga1-13,Mock
2250,0.84,ga1-13,Mock
2251,0.92,ga1-13,Mock
2252,0.37,ga1-13,Mock
2253,0.77,ga1-13,Mock
2254,0.68,ga1-13,Mock
2255,1.18,ga1-13,Mock
2256,0.9,ga1-13,Mock
2257,1.09,ga1-13,Mock
2258,0.36,ga1-13,Mock
2259,1.1,ga1-13,Mock
2260,1,ga1-13,Mock
2261,0.64,ga1-13,Mock
2262,0.75,ga1-13,Mock
2263,1.99,ga1-13,Mock
2264,1.07,ga1-13,Mock
2265,0.95,ga1-13,Mock
2266,1.12,ga1-13,Mock
2267,0.84,ga1-13,Mock
2268,1.05,ga1-13,Mock
2269,1.3,ga1-13,Mock
2270,1.04,ga1-13,Mock
2271,1.5,ga1-13,Mock
2272,1.17,ga1-13,Mock
2273,1.14,ga1-13,Mock
2274,1.11,ga1-13,Mock
2275,1.68,ga1-13,Mock
2276,1.01,ga1-13,Mock
2277,1.32,ga1-13,Mock
2278,1.04,ga1-13,Mock
2279,0.85,ga1-13,Mock
2280,0.98,ga1-13,Mock
2281,1.08,ga1-13,Mock
2282,0.85,ga1-13,Mock
2283,0.93,ga1-13,Mock
2284,1.05,ga1-13,Mock
2285,1.16,ga1-13,Mock
2286,1.52,ga1-13,Mock
2287,1,ga1-13,Mock
2288,1.01,ga1-13,Mock
2289,1.31,ga1-13,Mock
2290,0.71,ga1-13,Mock
2291,0.9,ga1-13,Mock
2292,0.9,ga1-13,Mock
2293,0.74,ga1-13,Mock
2294,1.09,ga1-13,Mock
2295,0.9,ga1-13,Mock
2296,1.21,ga1-13,Mock
2297,0.79,ga1-13,Mock
2298,1.01,ga1-13,Mock
2299,0.68,ga1-13,Mock
2300,1.3,ga1-13,Mock
2301,0.79,ga1-13,Mock
2302,0.69,ga1-13,Mock
2303,0.87,ga1-13,Mock
2304,0.81,ga1-13,Mock
2305,1.52,ga1-13,Mock
2306,1.09,ga1-13,Mock
2307,1.11,ga1-13,Mock
2308,0.77,ga1-13,Mock
2309,1.01,ga1-13,Mock
2310,0.45,ga1-13,Mock
2311,1.15,ga1-13,Mock
2312,1.21,ga1-13,Mock
2313,1.15,ga1-13,Mock
2314,1.04,ga1-13,Mock
2315,0.78,ga1-13,Mock
2316,0.65,ga1-13,Mock
2317,1.27,ga1-13,Mock
2318,1.45,ga1-13,Mock
2319,1.31,ga1-13,Mock
2320,0.66,ga1-13,Mock
2321,1.41,ga1-13,Mock
2322,0.6,ga1-13,Mock
2323,1.27,ga1-13,Mock
2324,0.43,ga1-13,Mock
2325,1.21,ga1-13,Mock
2326,1.21,ga1-13,Mock
2327,0.96,ga1-13,Mock
2328,0.47,ga1-13,Mock
2329,0.75,ga1-13,Mock
2330,1.46,ga1-13,Mock
2331,1.03,ga1-13,Mock
2332,1.09,ga1-13,Mock
2333,0.97,ga1-13,Mock
2334,1.14,ga1-13,Mock
2335,0.83,ga1-13,Mock
2336,0.84,ga1-13,Mock
2337,0.95,ga1-13,Mock
2338,0.67,ga1-13,Mock
2339,1.34,ga1-13,Mock
2340,0.92,ga1-13,Mock
2341,0.92,ga1-13,Mock
2342,0.84,ga1-13,Mock
2343,1.32,ga1-13,Mock
2344,0.9,ga1-13,Mock
2345,1.09,ga1-13,Mock
2346,1.52,ga1-13,Mock
2347,0.66,ga1-13,Mock
2348,1.33,ga1-13,Mock
2349,1.41,ga1-13,Mock
2350,1.18,ga1-13,Mock
2351,1.36,ga1-13,Mock
2352,1.28,ga1-13,Mock
2353,1.36,ga1-13,Mock
2354,0.93,ga1-13,Mock
2355,0.74,ga1-13,Mock
2356,0.86,ga1-13,Mock
2357,1.3,ga1-13,Mock
2358,1.07,ga1-13,Mock
2359,0.9,ga1-13,Mock
2360,1.34,ga1-13,Mock
2361,1.02,ga1-13,Mock
2362,0.92,ga1-13,Mock
2363,1.09,ga1-13,Mock
2364,0.75,ga1-13,Mock
2365,0.87,ga1-13,Mock
2366,1.12,ga1-13,Mock
2367,0.69,ga1-13,Mock
2368,1.26,ga1-13,Mock
2369,1.59,ga1-13,Mock
2370,1.14,ga1-13,Mock
2371,0.84,ga1-13,Mock
2372,0.24,ga1-13,Mock
2373,0.81,ga1-13,Mock
2374,0.49,ga1-13,Mock
2375,0.79,ga1-13,Mock
2376,0.39,ga1-13,Mock
2377,1.51,ga1-13,Mock
2378,0.71,ga1-13,Mock
2379,1.39,ga1-13,Mock
2380,1.05,ga1-13,Mock
2381,0.51,ga1-13,Mock
2382,1.13,ga1-13,Mock
2383,0.83,ga1-13,Mock
2384,0.89,ga1-13,Mock
2385,1.3,ga1-13,Mock
2386,1.16,ga1-13,Mock
2387,1.22,ga1-13,Mock
2388,0.35,ga1-13,Mock
2389,0.97,ga1-13,Mock
2390,0.89,ga1-13,Mock
2391,1.17,ga1-13,Mock
2392,1.19,ga1-13,Mock
2393,1.1,ga1-13,Mock
2394,0.73,ga1-13,Mock
2395,0.71,ga1-13,Mock
2396,0.56,ga1-13,Mock
2397,0.76,ga1-13,Mock
2398,0.88,ga1-13,Mock
2399,1.15,ga1-13,Mock
2400,0.5,ga1-13,Mock
2401,1.54,ga1-13,Mock
2402,0.73,ga1-13,Mock
2403,0.71,ga1-13,Mock
2404,0.82,ga1-13,Mock
2405,1.1,ga1-13,Mock
2406,1.09,ga1-13,Mock
2407,1.37,ga1-13,Mock
2408,0.54,ga1-13,Mock
2409,0.94,ga1-13,Mock
2410,1.12,ga1-13,Mock
2411,1.03,ga1-13,Mock
2412,0.76,ga1-13,Mock
2413,0.65,ga1-13,Mock
2414,0.92,ga1-13,Mock
2415,1.13,ga1-13,Mock
2416,1.18,ga1-13,Mock
2417,1.14,ga1-13,Mock
2418,1.06,ga1-13,Mock
2419,0.69,ga1-13,Mock
2420,0.46,ga1-13,Mock
2421,1.17,ga1-13,Mock
2422,1.18,ga1-13,Mock
2423,0.66,ga1-13,Mock
2424,1.22,ga1-13,Mock
2425,1.35,ga1-13,Mock
2426,1.13,ga1-13,Mock
2427,1.87,ga1-13,Mock
2428,0.77,ga1-13,Mock
2429,1.11,ga1-13,Mock
2430,1.36,ga1-13,Mock
2431,0.44,ga1-13,Mock
2432,1.54,ga1-13,Mock
2433,0.98,ga1-13,Mock
2434,1.41,ga1-13,Mock
2435,0.61,ga1-13,Mock
2436,1.19,ga1-13,Mock
2437,0.89,ga1-13,Mock
2438,0.79,ga1-13,Mock
2439,1.29,ga1-13,Mock
2440,1.13,ga1-13,Mock
2441,1.34,ga1-13,Mock
2442,0.89,ga1-13,Mock
2443,0.54,ga1-13,Mock
2444,1.12,ga1-13,Mock
2445,0.7,ga1-13,Mock
2446,1.36,ga1-13,Mock
2447,0.99,ga1-13,Mock
2448,1.08,ga1-13,Mock
2449,1.38,ga1-13,Mock
2450,0.86,ga1-13,Mock
2451,0.91,ga1-13,Mock
2452,0.67,ga1-13,Mock
2453,0.9,ga1-13,Mock
2454,0.79,ga1-13,Mock
2455,1.27,ga1-13,Mock
2456,1.38,ga1-13,Mock
2457,1.13,ga1-13,Mock
2458,1,ga1-13,Mock
2459,0.96,ga1-13,Mock
2460,1.02,ga1-13,Mock
2461,0.9,ga1-13,Mock
2462,0.84,ga1-13,Mock
2463,1.06,ga1-13,Mock
2464,0.96,ga1-13,Mock
2465,0.95,ga1-13,Mock
2466,0.72,ga1-13,Mock
2467,0.61,ga1-13,Mock
2468,1.24,ga1-13,Mock
2469,0.98,ga1-13,Mock
2470,1.36,ga1-13,Mock
2471,0.85,ga1-13,Mock
2472,1.33,ga1-13,Mock
2473,0.85,ga1-13,Mock
2474,0.82,ga1-13,Mock
2475,0.52,ga1-13,Mock
2476,1.17,ga1-13,Mock
2477,1.18,ga1-13,Mock
2478,0.82,ga1-13,Mock
2479,0.79,ga1-13,Mock
2480,0.82,ga1-13,Mock
2481,0.49,ga1-13,Mock
2482,1.4,ga1-13,Mock
2483,0.93,ga1-13,Mock
2484,1.07,ga1-13,Mock
2485,1.47,ga1-13,Mock
2486,1.75,ga1-13,Mock
2487,1.07,ga1-13,Mock
2488,0.95,ga1-13,Mock
2489,1.01,ga1-13,Mock
2490,1.09,ga1-13,Mock
2491,1.4,ga1-13,Mock
2492,0.9,ga1-13,Mock
2493,0.65,ga1-13,Mock
2494,1.5,ga1-13,Mock
2495,0.46,ga1-13,Mock
2496,0.62,ga1-13,Mock
2497,1.49,ga1-13,Mock
2498,0.35,ga1-13,Mock
2499,0.94,ga1-13,Mock
2500,1.28,ga1-13,Mock
2501,5.43,ga1-13,GA
2502,1.82,ga1-13,GA
2503,4.19,ga1-13,GA
2504,2.52,ga1-13,GA
2505,3.82,ga1-13,GA
2506,3.09,ga1-13,GA
2507,4.89,ga1-13,GA
2508,3.98,ga1-13,GA
2509,4.34,ga1-13,GA
2510,4.34,ga1-13,GA
2511,4.02,ga1-13,GA
2512,4.41,ga1-13,GA
2513,3.46,ga1-13,GA
2514,3.09,ga1-13,GA
2515,2.8,ga1-13,GA
2516,4.8,ga1-13,GA
2517,5.69,ga1-13,GA
2518,4.22,ga1-13,GA
2519,5.56,ga1-13,GA
2520,4.71,ga1-13,GA
2521,3.47,ga1-13,GA
2522,4.07,ga1-13,GA
2523,2.91,ga1-13,GA
2524,3.66,ga1-13,GA
2525,4.08,ga1-13,GA
2526,2.94,ga1-13,GA
2527,3.43,ga1-13,GA
2528,4.91,ga1-13,GA
2529,5.66,ga1-13,GA
2530,5.08,ga1-13,GA
2531,3.23,ga1-13,GA
2532,3.87,ga1-13,GA
2533,3.53,ga1-13,GA
2534,5.54,ga1-13,GA
2535,4.42,ga1-13,GA
2536,3.71,ga1-13,GA
2537,5.51,ga1-13,GA
2538,3.69,ga1-13,GA
2539,5.82,ga1-13,GA
2540,3.12,ga1-13,GA
2541,4.27,ga1-13,GA
2542,3.85,ga1-13,GA
2543,3.67,ga1-13,GA
2544,5.12,ga1-13,GA
2545,5.09,ga1-13,GA
2546,4.92,ga1-13,GA
2547,3.49,ga1-13,GA
2548,3.01,ga1-13,GA
2549,4.51,ga1-13,GA
2550,3.74,ga1-13,GA
2551,2.9,ga1-13,GA
2552,4.27,ga1-13,GA
2553,4.01,ga1-13,GA
2554,2.75,ga1-13,GA
2555,4.03,ga1-13,GA
2556,3.71,ga1-13,GA
2557,4.17,ga1-13,GA
2558,3.52,ga1-13,GA
2559,3.73,ga1-13,GA
2560,4.5,ga1-13,GA
2561,2.49,ga1-13,GA
2562,3.52,ga1-13,GA
2563,6.55,ga1-13,GA
2564,4.35,ga1-13,GA
2565,4.39,ga1-13,GA
2566,3.13,ga1-13,GA
2567,4.92,ga1-13,GA
2568,4.55,ga1-13,GA
2569,2.51,ga1-13,GA
2570,4.08,ga1-13,GA
2571,3.83,ga1-13,GA
2572,3.94,ga1-13,GA
2573,4.98,ga1-13,GA
2574,3.7,ga1-13,GA
2575,3.9,ga1-13,GA
2576,2.7,ga1-13,GA
2577,3.99,ga1-13,GA
2578,6.07,ga1-13,GA
2579,3.68,ga1-13,GA
2580,4.05,ga1-13,GA
2581,3.97,ga1-13,GA
2582,5.56,ga1-13,GA
2583,3.42,ga1-13,GA
2584,3.02,ga1-13,GA
2585,4.66,ga1-13,GA
2586,3.08,ga1-13,GA
2587,5.43,ga1-13,GA
2588,3.41,ga1-13,GA
2589,5.82,ga1-13,GA
2590,2.14,ga1-13,GA
2591,6.2,ga1-13,GA
2592,5.35,ga1-13,GA
2593,3.85,ga1-13,GA
2594,2.44,ga1-13,GA
2595,2.56,ga1-13,GA
2596,4.96,ga1-13,GA
2597,4.14,ga1-13,GA
2598,4.18,ga1-13,GA
2599,3,ga1-13,GA
2600,4.38,ga1-13,GA
2601,2.88,ga1-13,GA
2602,2.76,ga1-13,GA
2603,2.71,ga1-13,GA
2604,3.11,ga1-13,GA
2605,4.92,ga1-13,GA
2606,3.34,ga1-13,GA
2607,4.63,ga1-13,GA
2608,2.08,ga1-13,GA
2609,3.04,ga1-13,GA
2610,5.09,ga1-13,GA
2611,3.54,ga1-13,GA
2612,5.85,ga1-13,GA
2613,4.7,ga1-13,GA
2614,2.43,ga1-13,GA
2615,2.53,ga1-13,GA
2616,3.81,ga1-13,GA
2617,3.98,ga1-13,GA
2618,4.73,ga1-13,GA
2619,1.51,ga1-13,GA
2620,5.38,ga1-13,GA
2621,3.33,ga1-13,GA
2622,5.29,ga1-13,GA
2623,6.38,ga1-13,GA
2624,4.22,ga1-13,GA
2625,2.76,ga1-13,GA
2626,5.03,ga1-13,GA
2627,2.69,ga1-13,GA
2628,6.58,ga1-13,GA
2629,3.85,ga1-13,GA
2630,4.3,ga1-13,GA
2631,3.73,ga1-13,GA
2632,3.54,ga1-13,GA
2633,4.66,ga1-13,GA
2634,4.88,ga1-13,GA
2635,4.81,ga1-13,GA
2636,4.43,ga1-13,GA
2637,2.5,ga1-13,GA
2638,5.38,ga1-13,GA
2639,4.69,ga1-13,GA
2640,5.74,ga1-13,GA
2641,4.66,ga1-13,GA
2642,4.28,ga1-13,GA
2643,4.65,ga1-13,GA
2644,4.77,ga1-13,GA
2645,3.13,ga1-13,GA
2646,2.87,ga1-13,GA
2647,5.51,ga1-13,GA
2648,4.58,ga1-13,GA
2649,3.98,ga1-13,GA
2650,3.45,ga1-13,GA
2651,4.82,ga1-13,GA
2652,7.08,ga1-13,GA
2653,3.34,ga1-13,GA
2654,4.17,ga1-13,GA
2655,5.72,ga1-13,GA
2656,2.9,ga1-13,GA
2657,3.13,ga1-13,GA
2658,4.91,ga1-13,GA
2659,3.85,ga1-13,GA
2660,4.72,ga1-13,GA
2661,5.18,ga1-13,GA
2662,4.52,ga1-13,GA
2663,3.31,ga1-13,GA
2664,4.64,ga1-13,GA
2665,5.26,ga1-13,GA
2666,4.78,ga1-13,GA
2667,2.99,ga1-13,GA
2668,3.46,ga1-13,GA
2669,5.4,ga1-13,GA
2670,1.61,ga1-13,GA
2671,4.53,ga1-13,GA
2672,4.25,ga1-13,GA
2673,3.6,ga1-13,GA
2674,5.78,ga1-13,GA
2675,4.45,ga1-13,GA
2676,4.54,ga1-13,GA
2677,3.58,ga1-13,GA
2678,3.51,ga1-13,GA
2679,3.34,ga1-13,GA
2680,3.61,ga1-13,GA
2681,3.81,ga1-13,GA
2682,3.65,ga1-13,GA
2683,2.82,ga1-13,GA
2684,4.84,ga1-13,GA
2685,3.77,ga1-13,GA
2686,2.07,ga1-13,GA
2687,3.65,ga1-13,GA
2688,2.17,ga1-13,GA
2689,4.56,ga1-13,GA
2690,2.82,ga1-13,GA
2691,4.35,ga1-13,GA
2692,3.62,ga1-13,GA
2693,5.38,ga1-13,GA
2694,5.02,ga1-13,GA
2695,3.68,ga1-13,GA
2696,4.65,ga1-13,GA
2697,5.41,ga1-13,GA
2698,4.27,ga1-13,GA
2699,3.2,ga1-13,GA
2700,5.32,ga1-13,GA
2701,3.66,ga1-13,GA
2702,2.98,ga1-13,GA
2703,2.65,ga1-13,GA
2704,2.98,ga1-13,GA
2705,3.21,ga1-13,GA
2706,4.66,ga1-13,GA
2707,4.65,ga1-13,GA
2708,3.67,ga1-13,GA
2709,3.7,ga1-13,GA
2710,4.59,ga1-13,GA
2711,5.49,ga1-13,GA
2712,4.21,ga1-13,GA
2713,3.64,ga1-13,GA
2714,5.4,ga1-13,GA
2715,3.28,ga1-13,GA
2716,4.7,ga1-13,GA
2717,3.47,ga1-13,GA
2718,3.95,ga1-13,GA
2719,3.76,ga1-13,GA
2720,3.78,ga1-13,GA
2721,3.9,ga1-13,GA
2722,4.21,ga1-13,GA
2723,5.15,ga1-13,GA
2724,4.79,ga1-13,GA
2725,3.57,ga1-13,GA
2726,0.89,ga1-13,GA
2727,4.88,ga1-13,GA
2728,4.74,ga1-13,GA
2729,2.32,ga1-13,GA
2730,3.21,ga1-13,GA
2731,3.01,ga1-13,GA
2732,3.91,ga1-13,GA
2733,3.92,ga1-13,GA
2734,1.68,ga1-13,GA
2735,4.28,ga1-13,GA
2736,3.44,ga1-13,GA
2737,5.22,ga1-13,GA
2738,6.58,ga1-13,GA
2739,2.62,ga1-13,GA
2740,3.14,ga1-13,GA
2741,3.37,ga1-13,GA
2742,4,ga1-13,GA
2743,4.95,ga1-13,GA
2744,3.78,ga1-13,GA
