rootsample,Hair Root length,Genotype,Treatment
1,2.32,Col-0,Mock
2,2.11,Col-0,Mock
3,2.29,Col-0,Mock
4,1.12,Col-0,Mock
5,1.67,Col-0,Mock
6,2.02,Col-0,Mock
7,2.5,Col-0,Mock
8,2.2,Col-0,Mock
9,2.64,Col-0,Mock
10,3.1,Col-0,Mock
11,2.62,Col-0,Mock
12,3.69,Col-0,Mock
13,2.33,Col-0,Mock
14,2.09,Col-0,Mock
15,1.9,Col-0,Mock
16,2.23,Col-0,Mock
17,3,Col-0,Mock
18,2.68,Col-0,Mock
19,2.64,Col-0,Mock
20,2.55,Col-0,Mock
21,1.69,Col-0,Mock
22,1.81,Col-0,Mock
23,2.32,Col-0,Mock
24,2.6,Col-0,Mock
25,2.52,Col-0,Mock
26,3.74,Col-0,Mock
27,1.95,Col-0,Mock
28,2.33,Col-0,Mock
29,3.37,Col-0,Mock
30,2.23,Col-0,Mock
31,2.29,Col-0,Mock
32,2.32,Col-0,Mock
33,2.68,Col-0,Mock
34,2.24,Col-0,Mock
35,2.18,Col-0,Mock
36,1.3,Col-0,Mock
37,2.16,Col-0,Mock
38,2.33,Col-0,Mock
39,2.18,Col-0,Mock
40,2.4,Col-0,Mock
41,2.65,Col-0,Mock
42,2.1,Col-0,Mock
43,2.4,Col-0,Mock
44,2.23,Col-0,Mock
45,2.69,Col-0,Mock
46,2.45,Col-0,Mock
47,2.35,Col-0,Mock
48,2.14,Col-0,Mock
49,2.61,Col-0,Mock
50,2.18,Col-0,Mock
51,2.87,Col-0,Mock
52,1.33,Col-0,Mock
53,3.03,Col-0,Mock
54,2.02,Col-0,Mock
55,2.52,Col-0,Mock
56,1.91,Col-0,Mock
57,1.99,Col-0,Mock
58,2.55,Col-0,Mock
59,2.29,Col-0,Mock
60,2.41,Col-0,Mock
61,2.57,Col-0,Mock
62,2.56,Col-0,Mock
63,2.61,Col-0,Mock
64,2.32,Col-0,Mock
65,2.7,Col-0,Mock
66,3.64,Col-0,Mock
67,2.78,Col-0,Mock
68,1.86,Col-0,Mock
69,2.49,Col-0,Mock
70,2.61,Col-0,Mock
71,1.44,Col-0,Mock
72,2.42,Col-0,Mock
73,2.72,Col-0,Mock
74,2.71,Col-0,Mock
75,2.47,Col-0,Mock
76,2.34,Col-0,Mock
77,1.02,Col-0,Mock
78,1.91,Col-0,Mock
79,2.62,Col-0,Mock
80,2.07,Col-0,Mock
81,2.51,Col-0,Mock
82,2.43,Col-0,Mock
83,1.77,Col-0,Mock
84,3.11,Col-0,Mock
85,2.85,Col-0,Mock
86,2.97,Col-0,Mock
87,1.78,Col-0,Mock
88,2.34,Col-0,Mock
89,1.9,Col-0,Mock
90,2.23,Col-0,Mock
91,3.13,Col-0,Mock
92,3.03,Col-0,Mock
93,2.57,Col-0,Mock
94,2.97,Col-0,Mock
95,3.16,Col-0,Mock
96,2.47,Col-0,Mock
97,2.2,Col-0,Mock
98,3.23,Col-0,Mock
99,2.18,Col-0,Mock
100,2.97,Col-0,Mock
101,3.19,Col-0,Mock
102,2.25,Col-0,Mock
103,3.04,Col-0,Mock
104,1.88,Col-0,Mock
105,1.96,Col-0,Mock
106,2.6,Col-0,Mock
107,1.94,Col-0,Mock
108,1.65,Col-0,Mock
109,3.69,Col-0,Mock
110,2.04,Col-0,Mock
111,2.82,Col-0,Mock
112,2.53,Col-0,Mock
113,3.56,Col-0,Mock
114,2.15,Col-0,Mock
115,2.12,Col-0,Mock
116,1.81,Col-0,Mock
117,2.14,Col-0,Mock
118,2.37,Col-0,Mock
119,1.93,Col-0,Mock
120,1.92,Col-0,Mock
121,2.23,Col-0,Mock
122,1.71,Col-0,Mock
123,3.18,Col-0,Mock
124,2.44,Col-0,Mock
125,2.69,Col-0,Mock
126,2.24,Col-0,Mock
127,2.26,Col-0,Mock
128,2.08,Col-0,Mock
129,3.15,Col-0,Mock
130,2.13,Col-0,Mock
131,2.98,Col-0,Mock
132,3.03,Col-0,Mock
133,3.34,Col-0,Mock
134,2.39,Col-0,Mock
135,2.83,Col-0,Mock
136,2.73,Col-0,Mock
137,2.8,Col-0,Mock
138,2.04,Col-0,Mock
139,1.69,Col-0,Mock
140,2.27,Col-0,Mock
141,2.49,Col-0,Mock
142,2.7,Col-0,Mock
143,2.72,Col-0,Mock
144,3.12,Col-0,Mock
145,3.2,Col-0,Mock
146,2.46,Col-0,Mock
147,2.21,Col-0,Mock
148,2.22,Col-0,Mock
149,1.88,Col-0,Mock
150,2.43,Col-0,Mock
151,2.19,Col-0,Mock
152,3.38,Col-0,Mock
153,1.78,Col-0,Mock
154,2,Col-0,Mock
155,1.42,Col-0,Mock
156,1.84,Col-0,Mock
157,1.65,Col-0,Mock
158,2.33,Col-0,Mock
159,3.12,Col-0,Mock
160,2.41,Col-0,Mock
161,2.32,Col-0,Mock
162,2.09,Col-0,Mock
163,2.45,Col-0,Mock
164,2.24,Col-0,Mock
165,2.38,Col-0,Mock
166,2.98,Col-0,Mock
167,2.78,Col-0,Mock
168,1.56,Col-0,Mock
169,2.57,Col-0,Mock
170,1.82,Col-0,Mock
171,3.93,Col-0,Mock
172,3.23,Col-0,Mock
173,3.16,Col-0,Mock
174,2.27,Col-0,Mock
175,2.41,Col-0,Mock
176,1.69,Col-0,Mock
177,2.05,Col-0,Mock
178,2.18,Col-0,Mock
179,2.77,Col-0,Mock
180,1.76,Col-0,Mock
181,2,Col-0,Mock
182,2.46,Col-0,Mock
183,2.41,Col-0,Mock
184,2.82,Col-0,Mock
185,2.6,Col-0,Mock
186,1.82,Col-0,Mock
187,2.88,Col-0,Mock
188,1.97,Col-0,Mock
189,2.11,Col-0,Mock
190,2.16,Col-0,Mock
191,3.06,Col-0,Mock
192,2.85,Col-0,Mock
193,2.01,Col-0,Mock
194,1.6,Col-0,Mock
195,2.3,Col-0,Mock
196,1.7,Col-0,Mock
197,2.17,Col-0,Mock
198,2.52,Col-0,Mock
199,2.4,Col-0,Mock
200,2.39,Col-0,Mock
201,2.39,Col-0,Mock
202,2.68,Col-0,Mock
203,2.65,Col-0,Mock
204,1.35,Col-0,Mock
205,2.29,Col-0,Mock
206,2.35,Col-0,Mock
207,2.82,Col-0,Mock
208,2.81,Col-0,Mock
209,1.98,Col-0,Mock
210,2.15,Col-0,Mock
211,2.48,Col-0,Mock
212,2.99,Col-0,Mock
213,2.15,Col-0,Mock
214,3.42,Col-0,Mock
215,2.07,Col-0,Mock
216,2.54,Col-0,Mock
217,2.72,Col-0,Mock
218,2.33,Col-0,Mock
219,2.76,Col-0,Mock
220,2.36,Col-0,Mock
221,1.5,Col-0,Mock
222,2.24,Col-0,Mock
223,2.09,Col-0,Mock
224,2.71,Col-0,Mock
225,2.71,Col-0,Mock
226,2.65,Col-0,Mock
227,2.94,Col-0,Mock
228,1.97,Col-0,Mock
229,2.75,Col-0,Mock
230,1.42,Col-0,Mock
231,2.48,Col-0,Mock
232,1.49,Col-0,Mock
233,2.41,Col-0,Mock
234,2.32,Col-0,Mock
235,1.74,Col-0,Mock
236,2.93,Col-0,Mock
237,2.43,Col-0,Mock
238,2.69,Col-0,Mock
239,2.49,Col-0,Mock
240,1.76,Col-0,Mock
241,2.69,Col-0,Mock
242,2.73,Col-0,Mock
243,2.18,Col-0,Mock
244,2.18,Col-0,Mock
245,1.74,Col-0,Mock
246,2.31,Col-0,Mock
247,1.99,Col-0,Mock
248,2.39,Col-0,Mock
249,2.95,Col-0,Mock
250,2.58,Col-0,Mock
251,2.38,Col-0,Mock
252,2.19,Col-0,Mock
253,2.86,Col-0,Mock
254,2.37,Col-0,Mock
255,1.83,Col-0,Mock
256,3.44,Col-0,Mock
257,2.79,Col-0,Mock
258,2.22,Col-0,Mock
259,2.24,Col-0,Mock
260,2.56,Col-0,Mock
261,2.46,Col-0,Mock
262,2.98,Col-0,Mock
263,1.96,Col-0,Mock
264,2.22,Col-0,Mock
265,1.9,Col-0,Mock
266,3.42,Col-0,Mock
267,2.84,Col-0,Mock
268,1.83,Col-0,Mock
269,3.08,Col-0,Mock
270,2.17,Col-0,Mock
271,2.01,Col-0,Mock
272,2.71,Col-0,Mock
273,2.55,Col-0,Mock
274,3.12,Col-0,Mock
275,3.74,Col-0,Mock
276,2.48,Col-0,Mock
277,2.1,Col-0,Mock
278,3.1,Col-0,Mock
279,2.54,Col-0,Mock
280,2.8,Col-0,Mock
281,2.36,Col-0,Mock
282,2.52,Col-0,Mock
283,2.05,Col-0,Mock
284,2.35,Col-0,Mock
285,2,Col-0,Mock
286,1.92,Col-0,Mock
287,2.61,Col-0,Mock
288,2,Col-0,Mock
289,3.33,Col-0,Mock
290,2.2,Col-0,Mock
291,3.86,Col-0,Mock
292,2.32,Col-0,Mock
293,2.19,Col-0,Mock
294,2.99,Col-0,Mock
295,2.55,Col-0,Mock
296,2.53,Col-0,Mock
297,1.87,Col-0,Mock
298,3.11,Col-0,Mock
299,2.38,Col-0,Mock
300,2.47,Col-0,Mock
301,2.24,Col-0,Mock
302,2.52,Col-0,Mock
303,1.97,Col-0,Mock
304,2.57,Col-0,Mock
305,2.27,Col-0,Mock
306,2.94,Col-0,Mock
307,1.8,Col-0,Mock
308,2.83,Col-0,Mock
309,3.19,Col-0,Mock
310,2.41,Col-0,Mock
311,2.48,Col-0,Mock
312,2.31,Col-0,Mock
313,2.07,Col-0,Mock
314,2.46,Col-0,Mock
315,1.45,Col-0,Mock
316,3.55,Col-0,Mock
317,3,Col-0,Mock
318,1.96,Col-0,Mock
319,3.77,Col-0,Mock
320,1.98,Col-0,Mock
321,2.37,Col-0,Mock
322,3.11,Col-0,Mock
323,1.7,Col-0,Mock
324,2.64,Col-0,Mock
325,3.68,Col-0,Mock
326,1.5,Col-0,Mock
327,2.12,Col-0,Mock
328,2.1,Col-0,Mock
329,2.3,Col-0,Mock
330,2.43,Col-0,Mock
331,2.78,Col-0,Mock
332,2.63,Col-0,Mock
333,1.59,Col-0,Mock
334,2.14,Col-0,Mock
335,3.56,Col-0,Mock
336,2.42,Col-0,Mock
337,2.02,Col-0,Mock
338,2.68,Col-0,Mock
339,2.99,Col-0,Mock
340,1.84,Col-0,Mock
341,2.29,Col-0,Mock
342,2.74,Col-0,Mock
343,2.6,Col-0,Mock
344,1.66,Col-0,Mock
345,2.72,Col-0,Mock
346,1.89,Col-0,Mock
347,1.74,Col-0,Mock
348,2.6,Col-0,Mock
349,1.96,Col-0,Mock
350,2.28,Col-0,Mock
351,1.21,Col-0,Mock
352,3.01,Col-0,Mock
353,2.32,Col-0,Mock
354,2.77,Col-0,Mock
355,2.85,Col-0,Mock
356,3.17,Col-0,Mock
357,2.55,Col-0,Mock
358,2.27,Col-0,Mock
359,2.61,Col-0,Mock
360,2.77,Col-0,Mock
361,2.35,Col-0,Mock
362,2.5,Col-0,Mock
363,2.96,Col-0,Mock
364,2.78,Col-0,Mock
365,2.76,Col-0,Mock
366,2.45,Col-0,Mock
367,2.96,Col-0,Mock
368,2.59,Col-0,Mock
369,2.55,Col-0,Mock
370,2.7,Col-0,Mock
371,2.09,Col-0,Mock
372,2.31,Col-0,Mock
373,2.23,Col-0,Mock
374,2.46,Col-0,Mock
375,1.98,Col-0,Mock
376,2.73,Col-0,Mock
377,1.2,Col-0,Mock
378,2.04,Col-0,Mock
379,2.22,Col-0,Mock
380,2.73,Col-0,Mock
381,2.62,Col-0,Mock
382,2.84,Col-0,Mock
383,2.38,Col-0,Mock
384,2.54,Col-0,Mock
385,1.64,Col-0,Mock
386,3.16,Col-0,Mock
387,1.76,Col-0,Mock
388,2.3,Col-0,Mock
389,2.35,Col-0,Mock
390,2.72,Col-0,Mock
391,2.03,Col-0,Mock
392,2.69,Col-0,Mock
393,2.96,Col-0,Mock
394,2.02,Col-0,Mock
395,2.56,Col-0,Mock
396,1.68,Col-0,Mock
397,1.68,Col-0,Mock
398,1.61,Col-0,Mock
399,2.65,Col-0,Mock
400,2.29,Col-0,Mock
401,2.66,Col-0,Mock
402,2.75,Col-0,Mock
403,3.04,Col-0,Mock
404,3.11,Col-0,Mock
405,2.1,Col-0,Mock
406,2.15,Col-0,Mock
407,2.79,Col-0,Mock
408,2.93,Col-0,Mock
409,2.17,Col-0,Mock
410,2.18,Col-0,Mock
411,2.13,Col-0,Mock
412,2.46,Col-0,Mock
413,1.84,Col-0,Mock
414,2.06,Col-0,Mock
415,1.91,Col-0,Mock
416,3.6,Col-0,Mock
417,2.82,Col-0,Mock
418,2.56,Col-0,Mock
419,2.44,Col-0,Mock
420,1.96,Col-0,Mock
421,2.3,Col-0,Mock
422,3.09,Col-0,Mock
423,1.66,Col-0,Mock
424,1.77,Col-0,Mock
425,3.01,Col-0,Mock
426,2.31,Col-0,Mock
427,2.39,Col-0,Mock
428,1.2,Col-0,Mock
429,1.78,Col-0,Mock
430,3.2,Col-0,Mock
431,3.28,Col-0,Mock
432,2.39,Col-0,Mock
433,3.59,Col-0,Mock
434,2.29,Col-0,Mock
435,2.44,Col-0,Mock
436,2.18,Col-0,Mock
437,2.37,Col-0,Mock
438,2.52,Col-0,Mock
439,2.07,Col-0,Mock
440,2.36,Col-0,Mock
441,2.5,Col-0,Mock
442,2.53,Col-0,Mock
443,2.7,Col-0,Mock
444,2.05,Col-0,Mock
445,2.42,Col-0,Mock
446,1.55,Col-0,Mock
447,3.33,Col-0,Mock
448,2.52,Col-0,Mock
449,2.07,Col-0,Mock
450,2.38,Col-0,Mock
451,2.97,Col-0,Mock
452,2.57,Col-0,Mock
453,2.72,Col-0,Mock
454,2.09,Col-0,Mock
455,2.13,Col-0,Mock
456,2.01,Col-0,Mock
457,2.8,Col-0,Mock
458,2.39,Col-0,Mock
459,2.16,Col-0,Mock
460,1.84,Col-0,Mock
461,3.48,Col-0,Mock
462,1.44,Col-0,Mock
463,2.32,Col-0,Mock
464,2.69,Col-0,Mock
465,2.5,Col-0,Mock
466,2.52,Col-0,Mock
467,2.34,Col-0,Mock
468,2.23,Col-0,Mock
469,1.88,Col-0,Mock
470,2.61,Col-0,Mock
471,2.36,Col-0,Mock
472,2.68,Col-0,Mock
473,1.8,Col-0,Mock
474,2.2,Col-0,Mock
475,2.24,Col-0,Mock
476,2.29,Col-0,Mock
477,1.98,Col-0,Mock
478,2.74,Col-0,Mock
479,2.49,Col-0,Mock
480,2.31,Col-0,Mock
481,1.98,Col-0,Mock
482,3.03,Col-0,Mock
483,2.64,Col-0,Mock
484,2.35,Col-0,Mock
485,2.73,Col-0,Mock
486,2.13,Col-0,Mock
487,2.35,Col-0,Mock
488,2.85,Col-0,Mock
489,2.66,Col-0,Mock
490,1.95,Col-0,Mock
491,2.5,Col-0,Mock
492,2.54,Col-0,Mock
493,2.17,Col-0,Mock
494,2.88,Col-0,Mock
495,3.22,Col-0,Mock
496,1.8,Col-0,Mock
497,2.74,Col-0,Mock
498,2.28,Col-0,Mock
499,2.72,Col-0,Mock
500,3.28,Col-0,Mock
501,1.12,Col-0,GA
502,1.02,Col-0,GA
503,-0.08,Col-0,GA
504,0.75,Col-0,GA
505,1.35,Col-0,GA
506,1.82,Col-0,GA
507,1.16,Col-0,GA
508,0.55,Col-0,GA
509,1.63,Col-0,GA
510,0.46,Col-0,GA
511,0.74,Col-0,GA
512,0.86,Col-0,GA
513,1.02,Col-0,GA
514,1.13,Col-0,GA
515,0.75,Col-0,GA
516,1.21,Col-0,GA
517,0.72,Col-0,GA
518,0.97,Col-0,GA
519,0.41,Col-0,GA
520,1.15,Col-0,GA
521,0.68,Col-0,GA
522,1.23,Col-0,GA
523,1.06,Col-0,GA
524,0.76,Col-0,GA
525,1.08,Col-0,GA
526,0.92,Col-0,GA
527,0.6,Col-0,GA
528,1.07,Col-0,GA
529,0.79,Col-0,GA
530,1.45,Col-0,GA
531,0.66,Col-0,GA
532,1.14,Col-0,GA
533,1.44,Col-0,GA
534,0.48,Col-0,GA
535,0.81,Col-0,GA
536,1.12,Col-0,GA
537,1.02,Col-0,GA
538,1.34,Col-0,GA
539,0.45,Col-0,GA
540,1.41,Col-0,GA
541,0.8,Col-0,GA
542,1.71,Col-0,GA
543,1.44,Col-0,GA
544,1.01,Col-0,GA
545,1.62,Col-0,GA
546,1.31,Col-0,GA
547,0.71,Col-0,GA
548,1.45,Col-0,GA
549,1.52,Col-0,GA
550,1.3,Col-0,GA
551,0.66,Col-0,GA
552,1.16,Col-0,GA
553,0.74,Col-0,GA
554,1.46,Col-0,GA
555,1.64,Col-0,GA
556,1.2,Col-0,GA
557,0.47,Col-0,GA
558,1.55,Col-0,GA
559,1.68,Col-0,GA
560,1.5,Col-0,GA
561,0.32,Col-0,GA
562,1.39,Col-0,GA
563,1.7,Col-0,GA
564,0.63,Col-0,GA
565,1.23,Col-0,GA
566,0.85,Col-0,GA
567,0.91,Col-0,GA
568,0.7,Col-0,GA
569,0.85,Col-0,GA
570,0.58,Col-0,GA
571,0.16,Col-0,GA
572,0.75,Col-0,GA
573,1.9,Col-0,GA
574,0.81,Col-0,GA
575,0.97,Col-0,GA
576,1.15,Col-0,GA
577,1.32,Col-0,GA
578,1.96,Col-0,GA
579,0.46,Col-0,GA
580,1.22,Col-0,GA
581,1.62,Col-0,GA
582,0.48,Col-0,GA
583,0.42,Col-0,GA
584,1.07,Col-0,GA
585,1,Col-0,GA
586,0.91,Col-0,GA
587,1.48,Col-0,GA
588,1.49,Col-0,GA
589,0.74,Col-0,GA
590,1.13,Col-0,GA
591,0.55,Col-0,GA
592,0.35,Col-0,GA
593,0.85,Col-0,GA
594,1.12,Col-0,GA
595,0.6,Col-0,GA
596,0.94,Col-0,GA
597,2.03,Col-0,GA
598,0.98,Col-0,GA
599,1.2,Col-0,GA
600,0.65,Col-0,GA
601,0.68,Col-0,GA
602,0.79,Col-0,GA
603,1.04,Col-0,GA
604,1.07,Col-0,GA
605,1.61,Col-0,GA
606,0.97,Col-0,GA
607,1.26,Col-0,GA
608,1.61,Col-0,GA
609,0.48,Col-0,GA
610,0.91,Col-0,GA
611,0.81,Col-0,GA
612,1.3,Col-0,GA
613,1.01,Col-0,GA
614,0.64,Col-0,GA
615,1.17,Col-0,GA
616,1.46,Col-0,GA
617,1.11,Col-0,GA
618,0.57,Col-0,GA
619,0.47,Col-0,GA
620,2.04,Col-0,GA
621,1.57,Col-0,GA
622,0.45,Col-0,GA
623,0.83,Col-0,GA
624,1,Col-0,GA
625,1.22,Col-0,GA
626,0.75,Col-0,GA
627,1.51,Col-0,GA
628,1.64,Col-0,GA
629,0.86,Col-0,GA
630,1.01,Col-0,GA
631,0.48,Col-0,GA
632,1.03,Col-0,GA
633,1.25,Col-0,GA
634,0.77,Col-0,GA
635,1.19,Col-0,GA
636,1.63,Col-0,GA
637,1.08,Col-0,GA
638,0.74,Col-0,GA
639,0.76,Col-0,GA
640,0.58,Col-0,GA
641,0.58,Col-0,GA
642,0.37,Col-0,GA
643,0.63,Col-0,GA
644,1.52,Col-0,GA
645,0.88,Col-0,GA
646,1.05,Col-0,GA
647,0.72,Col-0,GA
648,0.41,Col-0,GA
649,1.3,Col-0,GA
650,0.79,Col-0,GA
651,1.35,Col-0,GA
652,0.78,Col-0,GA
653,0.56,Col-0,GA
654,1.91,Col-0,GA
655,1.28,Col-0,GA
656,0.52,Col-0,GA
657,1.29,Col-0,GA
658,1.55,Col-0,GA
659,0.58,Col-0,GA
660,1.3,Col-0,GA
661,0.91,Col-0,GA
662,0.86,Col-0,GA
663,1.45,Col-0,GA
664,1.31,Col-0,GA
665,0.88,Col-0,GA
666,1.58,Col-0,GA
667,1.16,Col-0,GA
668,0.46,Col-0,GA
669,0.4,Col-0,GA
670,0.97,Col-0,GA
671,0.93,Col-0,GA
672,1.23,Col-0,GA
673,0.13,Col-0,GA
674,1.15,Col-0,GA
675,1.05,Col-0,GA
676,1.01,Col-0,GA
677,0.28,Col-0,GA
678,0.51,Col-0,GA
679,1.05,Col-0,GA
680,1.27,Col-0,GA
681,0.54,Col-0,GA
682,1.33,Col-0,GA
683,0.87,Col-0,GA
684,0.33,Col-0,GA
685,0.67,Col-0,GA
686,1.34,Col-0,GA
687,0.87,Col-0,GA
688,1.32,Col-0,GA
689,0.75,Col-0,GA
690,1.26,Col-0,GA
691,1.1,Col-0,GA
692,1.11,Col-0,GA
693,0.93,Col-0,GA
694,0.8,Col-0,GA
695,0.6,Col-0,GA
696,1.12,Col-0,GA
697,1.83,Col-0,GA
698,0.88,Col-0,GA
699,0.81,Col-0,GA
700,0.75,Col-0,GA
701,1.05,Col-0,GA
702,0.95,Col-0,GA
703,1.28,Col-0,GA
704,1.35,Col-0,GA
705,1.21,Col-0,GA
706,0.77,Col-0,GA
707,0.9,Col-0,GA
708,1.11,Col-0,GA
709,0.97,Col-0,GA
710,0.41,Col-0,GA
711,0.81,Col-0,GA
712,0.79,Col-0,GA
713,0.63,Col-0,GA
714,1.06,Col-0,GA
715,0.97,Col-0,GA
716,1.14,Col-0,GA
717,0.78,Col-0,GA
718,0.72,Col-0,GA
719,0.53,Col-0,GA
720,0.87,Col-0,GA
721,1.01,Col-0,GA
722,1.3,Col-0,GA
723,1.49,Col-0,GA
724,1.35,Col-0,GA
725,0.88,Col-0,GA
726,0.95,Col-0,GA
727,0.41,Col-0,GA
728,0.75,Col-0,GA
729,0.72,Col-0,GA
730,0.6,Col-0,GA
731,0.9,Col-0,GA
732,1.22,Col-0,GA
733,1.52,Col-0,GA
734,1.49,Col-0,GA
735,0.59,Col-0,GA
736,0.23,Col-0,GA
