ID,SL_C21h0_1,SL_C21h0_2,SL_C21h0_3,SL_T21h2_1,SL_T21h2_2,SL_T21h2_3,SL_GAT21h2_1,SL_GAT21h2_2,SL_GAT21h2_3,SL_GAT21h4_1,SL_GAT21h4_2,SL_GAT21h4_3
Gene190,7.328381532,7.445479296,7.347571074,7.303115695,7.612532218,7.436965824,7.39402766,7.660929903,7.500080813,7.353873527,7.458003936,7.521481148
Gene191,7.338594839,7.465219958,7.274774376,7.15462339,7.596398628,7.515831622,8.034641142,7.690282892,7.770537972,8.09106163,7.795724709,7.84737057
Gene192,7.362331136,7.409782601,7.394781484,7.95247092,7.662643546,7.50908082,7.452104448,7.791203979,7.431466661,7.111010389,7.209933251,7.192381565
Gene193,7.364591037,7.494341618,7.560908255,8.753404223,8.125075083,8.306707908,8.559972676,8.645689067,8.401683108,7.37705943,7.315054957,7.283826319
Gene194,7.377736703,7.204072643,7.450215763,7.593199807,7.320683482,7.406061129,7.308147097,7.319365747,7.361340054,7.282536845,7.354024515,7.464425954
Gene195,7.382797774,7.528679363,7.594008106,8.787305834,8.158238617,8.327811512,8.587128342,8.663342011,8.420757847,7.402043525,7.336260486,7.323039894
Gene196,7.383095428,7.275091696,7.188664482,7.474986236,7.463298142,7.528139208,7.599797281,7.449215685,7.486469176,7.310490495,7.461744795,7.430030564
Gene197,7.385006468,7.537317347,7.521423391,7.083107407,6.948009918,7.353620202,6.788389305,6.985041143,7.022349138,7.213763797,7.112491653,7.150069731
Gene198,7.421447288,7.360910854,7.503236934,7.867031496,7.743273457,7.625103028,7.697154836,7.549292144,7.854518233,7.581655785,7.582524597,7.632326894
Gene199,7.427533693,7.590617559,7.624915081,7.646829261,7.584234456,7.473544211,7.690178543,7.638784976,7.680059687,7.624577091,7.605635588,7.64609852
Gene200,7.444213753,7.191117155,7.49183065,7.643606524,7.800820472,7.838049426,7.295932094,7.241327729,7.341654219,7.323999357,7.357924922,7.470819805
Gene201,7.445197624,7.604853937,7.452849476,7.648860859,7.638935954,7.818114576,7.698997279,7.728996485,9.339038901,7.568863545,7.560503181,7.37070126
Gene202,7.456381769,7.561200369,7.578966127,7.434815327,7.492745,7.514739487,7.879523547,7.800771942,7.717249206,7.974337259,7.862034033,7.72412349
Gene203,7.468825204,7.273151303,7.188070218,7.876018618,7.81004746,7.897662685,7.893434076,7.8883226,7.827535133,7.988203398,7.600309808,7.971281697
Gene204,7.46997786,7.493207734,7.430761164,7.177201953,7.172428784,7.271417133,7.105141287,7.16989752,7.134497156,7.296243327,7.129290186,7.161214981
Gene205,7.475962279,7.53175172,7.530457204,7.47577262,7.554131026,7.621943439,7.43322523,7.443938698,7.323232215,7.394798052,7.269985664,7.303116203
Gene206,7.479745959,7.296084706,7.45539654,8.407413583,8.383756537,8.441750019,8.932441448,8.6201767,8.678539678,7.750036117,7.692944365,7.851895536
Gene207,7.48228378,7.526495559,7.507027983,7.697714464,7.59124927,7.586533397,7.475974315,7.486765412,7.436507232,7.252796073,7.154273881,7.325409144
Gene208,7.484031403,7.526311501,7.677581327,8.820332684,8.172218238,8.455940054,8.599100988,8.685549456,8.429906441,7.565265986,7.486642256,7.495286164
Gene209,7.485201123,7.313118176,7.223948487,7.913725371,7.858195157,7.943803228,7.916172813,7.921037053,7.866343185,8.021519133,7.638968997,8.001678633
